epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4562,1.85257,5.45972,0.971,0.83888,0.78788,0.88019,0.49666,1.44105,1.10087,0.89507,0.000661017,0.000661017,0.000661017
2,63.9863,1.47918,0.93651,0.87732,0.84458,0.89394,0.92464,0.57001,1.37808,0.75454,0.86277,0.0010648,0.0010648,0.0010648
3,89.8345,1.40159,0.84466,0.87313,0.86337,0.9191,0.95266,0.62185,1.27725,0.69585,0.84451,0.00120459,0.00120459,0.00120459
4,115.578,1.35712,0.76867,0.86281,0.88391,0.91515,0.95025,0.64324,1.20615,0.66181,0.83225,0.000812,0.000812,0.000812
5,141.484,1.21287,0.67877,0.83042,0.93635,0.93617,0.96097,0.69649,1.05628,0.57355,0.81376,0.000416,0.000416,0.000416
