epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,852.692,1.02631,0.79611,0.80004,0.90563,0.80148,0.88771,0.64342,1.15251,0.91798,0.84996,0.0009605,0.0009605,0.0009605
44,872.933,1.00462,0.75615,0.80649,0.86661,0.83747,0.9023,0.6541,1.12287,0.78435,0.84428,0.00093575,0.00093575,0.00093575
45,893.463,0.98195,0.75309,0.80859,0.88445,0.81941,0.89908,0.65059,1.16901,0.96169,0.84394,0.000911,0.000911,0.000911
46,913.324,0.93205,0.73648,0.79809,0.90032,0.7991,0.89352,0.64858,1.15392,0.89323,0.8537,0.00088625,0.00088625,0.00088625
47,933.209,0.95708,0.7507,0.80301,0.91157,0.81441,0.89523,0.65584,1.14521,0.80454,0.84876,0.0008615,0.0008615,0.0008615
48,953.627,0.99855,0.78105,0.80549,0.91016,0.80036,0.86529,0.63136,1.16635,0.88881,0.86826,0.00083675,0.00083675,0.00083675
49,973.677,0.93426,0.74081,0.80617,0.91687,0.79007,0.88979,0.6452,1.14251,0.87053,0.85398,0.000812,0.000812,0.000812
50,994.139,0.94625,0.7376,0.79842,0.94254,0.79458,0.90236,0.67674,1.1019,0.82986,0.84739,0.00078725,0.00078725,0.00078725
51,1014.11,0.93093,0.72471,0.79801,0.94561,0.82421,0.89946,0.67143,1.09603,0.83595,0.84803,0.0007625,0.0007625,0.0007625
52,1033.86,0.92149,0.72388,0.7938,0.90387,0.83296,0.90315,0.66949,1.12927,0.82796,0.84234,0.00073775,0.00073775,0.00073775
53,1053.66,0.9044,0.71361,0.7971,0.90743,0.80361,0.88544,0.64107,1.15454,0.8638,0.8563,0.000713,0.000713,0.000713
54,1073.53,0.93709,0.74511,0.80917,0.93725,0.80922,0.89985,0.66159,1.1236,0.86303,0.84757,0.00068825,0.00068825,0.00068825
55,1093.5,0.90408,0.72416,0.79592,0.94692,0.80542,0.89146,0.65626,1.14372,0.84733,0.85589,0.0006635,0.0006635,0.0006635
56,1114.41,0.905,0.73136,0.79851,0.94499,0.82167,0.9062,0.6755,1.1078,0.86192,0.8453,0.00063875,0.00063875,0.00063875
57,1135.06,0.88264,0.71389,0.79856,0.94047,0.82167,0.91322,0.68612,1.08925,0.8131,0.83867,0.000614,0.000614,0.000614
58,1154.78,0.92835,0.72596,0.80077,0.91854,0.80361,0.88268,0.66774,1.13064,0.93047,0.85637,0.00058925,0.00058925,0.00058925
59,1174.9,0.88229,0.7112,0.78987,0.91458,0.79233,0.88004,0.65453,1.15398,0.93336,0.84509,0.0005645,0.0005645,0.0005645
60,1195.27,0.89751,0.70942,0.7936,0.91076,0.81264,0.89391,0.66178,1.13354,0.83804,0.84903,0.00053975,0.00053975,0.00053975
61,1214.79,0.87225,0.69217,0.79798,0.9423,0.81103,0.89982,0.67536,1.0849,0.79148,0.84638,0.000515,0.000515,0.000515
62,1235.46,0.84005,0.71158,0.78305,0.94418,0.80587,0.89706,0.67824,1.10774,0.90933,0.84427,0.00049025,0.00049025,0.00049025
63,1255.84,0.85767,0.70672,0.79502,0.94649,0.78781,0.89628,0.68383,1.08539,0.90826,0.84728,0.0004655,0.0004655,0.0004655
64,1276.04,0.85071,0.6902,0.78952,0.94765,0.81719,0.9099,0.67553,1.09636,0.82175,0.84171,0.00044075,0.00044075,0.00044075
65,1295.55,0.84368,0.6919,0.79127,0.96167,0.79292,0.90509,0.68472,1.10286,0.88782,0.84952,0.000416,0.000416,0.000416
66,1315.38,0.84553,0.69345,0.78526,0.95253,0.81527,0.90997,0.67019,1.10999,0.83898,0.84317,0.00039125,0.00039125,0.00039125
67,1334.72,0.83625,0.68435,0.79274,0.94343,0.81264,0.90614,0.69122,1.07388,0.84006,0.83887,0.0003665,0.0003665,0.0003665
68,1354.59,0.83907,0.70676,0.79183,0.93733,0.80135,0.90147,0.68524,1.07293,0.87637,0.83994,0.00034175,0.00034175,0.00034175
69,1374.71,0.82242,0.69283,0.78915,0.94421,0.80587,0.90105,0.68101,1.08877,0.86437,0.84408,0.000317,0.000317,0.000317
70,1394.21,0.8285,0.69133,0.7981,0.94323,0.81716,0.90308,0.69507,1.04809,0.80065,0.83935,0.00029225,0.00029225,0.00029225
71,1423.42,0.74441,0.66174,0.7923,0.90664,0.80587,0.89275,0.67008,1.11743,0.92564,0.85146,0.0002675,0.0002675,0.0002675
72,1442.72,0.78778,0.66202,0.79161,0.9632,0.80135,0.89524,0.66407,1.09213,0.88644,0.84912,0.00024275,0.00024275,0.00024275
73,1462.24,0.73673,0.6474,0.79643,0.93555,0.81924,0.90056,0.68351,1.07511,0.84382,0.84527,0.000218,0.000218,0.000218
74,1482.08,0.72105,0.65365,0.78879,0.95395,0.79458,0.90515,0.69498,1.05943,0.903,0.84134,0.00019325,0.00019325,0.00019325
75,1501.83,0.73357,0.64734,0.78983,0.90648,0.83142,0.90692,0.69008,1.07042,0.86995,0.83934,0.0001685,0.0001685,0.0001685
76,1521.68,0.73029,0.65613,0.78703,0.95099,0.79684,0.90211,0.69698,1.03854,0.93079,0.83863,0.00014375,0.00014375,0.00014375
77,1542.13,0.70446,0.63764,0.78641,0.94643,0.79759,0.90052,0.68814,1.06215,0.89139,0.83744,0.000119,0.000119,0.000119
78,1561.29,0.70626,0.63582,0.78774,0.94,0.81341,0.90533,0.69466,1.05826,0.91026,0.84102,9.425e-05,9.425e-05,9.425e-05
79,1580.9,0.69043,0.63645,0.79113,0.93848,0.81941,0.90531,0.69466,1.0592,0.85817,0.84139,6.95e-05,6.95e-05,6.95e-05
80,1600.27,0.70407,0.63245,0.78832,0.95199,0.80135,0.90702,0.7018,1.03709,0.87597,0.83601,4.475e-05,4.475e-05,4.475e-05
