epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1982.2,0.96651,0.50161,0.8039,0.91473,0.94269,0.96393,0.73287,0.93695,0.48525,0.79092,0.00098525,0.00098525,0.00098525
43,2007.76,0.96711,0.48412,0.7989,0.95718,0.94832,0.97502,0.74894,0.90848,0.46192,0.79704,0.0009605,0.0009605,0.0009605
44,2033.41,0.94799,0.47923,0.79626,0.95291,0.94848,0.97769,0.76181,0.88215,0.4561,0.79126,0.00093575,0.00093575,0.00093575
45,2059.06,0.93526,0.48096,0.79794,0.9568,0.93954,0.9727,0.76301,0.87269,0.45437,0.78642,0.000911,0.000911,0.000911
46,2084.61,0.91902,0.46631,0.79837,0.96319,0.9303,0.97194,0.76224,0.90969,0.45689,0.79321,0.00088625,0.00088625,0.00088625
47,2110.17,0.92425,0.46753,0.79461,0.92142,0.95937,0.97044,0.75503,0.92188,0.45641,0.79724,0.0008615,0.0008615,0.0008615
48,2135.85,0.93241,0.46191,0.79346,0.93544,0.94848,0.97523,0.77653,0.85219,0.44904,0.78562,0.00083675,0.00083675,0.00083675
49,2161.47,0.92254,0.46467,0.79004,0.92732,0.94545,0.96942,0.76622,0.84779,0.44345,0.78572,0.000812,0.000812,0.000812
50,2187.14,0.90184,0.44927,0.79138,0.95399,0.94252,0.98026,0.7818,0.84852,0.43411,0.78292,0.00078725,0.00078725,0.00078725
51,2212.62,0.9173,0.46308,0.79113,0.94809,0.94848,0.97594,0.77075,0.8866,0.43885,0.78361,0.0007625,0.0007625,0.0007625
52,2238.37,0.91251,0.45696,0.79236,0.91141,0.92424,0.95385,0.75331,0.86712,0.45633,0.78408,0.00073775,0.00073775,0.00073775
53,2264.01,0.87159,0.44021,0.79106,0.93307,0.97576,0.97817,0.77213,0.85931,0.42912,0.78338,0.000713,0.000713,0.000713
54,2289.74,0.93218,0.46423,0.7897,0.94807,0.94042,0.97856,0.75715,0.90305,0.44139,0.78945,0.00068825,0.00068825,0.00068825
55,2315.42,0.91295,0.45118,0.79325,0.94827,0.93636,0.97833,0.77561,0.85139,0.43446,0.78748,0.0006635,0.0006635,0.0006635
56,2341.22,0.94082,0.45018,0.79441,0.95404,0.94346,0.97851,0.77608,0.86679,0.42415,0.7912,0.00063875,0.00063875,0.00063875
57,2366.8,0.86511,0.42263,0.79747,0.94076,0.96239,0.97734,0.78443,0.81299,0.41678,0.78114,0.000614,0.000614,0.000614
58,2392.54,0.88642,0.43296,0.79359,0.93007,0.9303,0.96312,0.76478,0.85993,0.44606,0.78422,0.00058925,0.00058925,0.00058925
59,2418.13,0.88457,0.42854,0.78776,0.93695,0.94568,0.97394,0.7609,0.88797,0.44187,0.78657,0.0005645,0.0005645,0.0005645
60,2443.69,0.9221,0.44319,0.78751,0.95154,0.95758,0.97481,0.77843,0.8574,0.42565,0.78684,0.00053975,0.00053975,0.00053975
61,2469.36,0.88129,0.4259,0.78299,0.94598,0.95758,0.97379,0.77354,0.85008,0.42403,0.78288,0.000515,0.000515,0.000515
