epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8354,1.85257,5.45972,0.971,0.83888,0.78788,0.88019,0.49666,1.44105,1.10087,0.89507,0.000661017,0.000661017,0.000661017
2,55.1317,1.54209,0.96562,0.89507,0.88987,0.85152,0.91938,0.58735,1.40456,0.77842,0.90739,0.00131125,0.00131125,0.00131125
3,84.5796,1.5782,0.92325,0.91163,0.7908,0.83636,0.85927,0.49543,1.5307,0.88562,0.89584,0.00194499,0.00194499,0.00194499
4,133.091,1.6034,0.90659,0.90236,0.84078,0.87576,0.90702,0.54412,1.34721,0.94119,0.88082,0.00192575,0.00192575,0.00192575
5,175.307,1.43446,0.89484,0.871,0.84449,0.88864,0.93715,0.5913,1.27128,0.75202,0.85784,0.001901,0.001901,0.001901
