epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,398.229,1.31064,0.69755,0.82083,0.916,0.92035,0.96012,0.61551,1.3054,0.65252,0.82411,0.0009605,0.0009605,0.0009605
44,407.391,1.33867,0.66954,0.83441,0.89973,0.87611,0.96291,0.58761,1.37142,0.66782,0.8371,0.00093575,0.00093575,0.00093575
45,416.499,1.3621,0.67188,0.81968,0.93052,0.94811,0.98472,0.62737,1.32335,0.60548,0.8311,0.000911,0.000911,0.000911
46,425.623,1.28802,0.65156,0.83115,0.92395,0.93805,0.97499,0.64333,1.3133,0.60438,0.82646,0.00088625,0.00088625,0.00088625
47,434.819,1.34906,0.66261,0.80715,0.91947,0.97345,0.97834,0.61189,1.36835,0.6488,0.83164,0.0008615,0.0008615,0.0008615
48,443.873,1.3497,0.68752,0.82298,0.914,0.93805,0.96998,0.62489,1.33195,0.63668,0.82956,0.00083675,0.00083675,0.00083675
49,452.943,1.35776,0.64854,0.81883,0.93888,0.95167,0.98513,0.63304,1.29482,0.59788,0.83152,0.000812,0.000812,0.000812
50,462.174,1.27617,0.6473,0.82,0.92142,0.93396,0.9803,0.65886,1.23239,0.59007,0.83352,0.00078725,0.00078725,0.00078725
51,471.384,1.3067,0.64281,0.81505,0.92663,0.89409,0.97485,0.64643,1.27119,0.57837,0.83723,0.0007625,0.0007625,0.0007625
52,480.538,1.31952,0.64313,0.8194,0.91434,0.94465,0.97228,0.63054,1.28027,0.62019,0.82559,0.00073775,0.00073775,0.00073775
53,489.805,1.24065,0.63488,0.8238,0.88548,0.90265,0.9611,0.6344,1.25888,0.61071,0.82312,0.000713,0.000713,0.000713
54,498.9,1.2674,0.62692,0.79161,0.92183,0.93923,0.98067,0.63501,1.27845,0.6022,0.82441,0.00068825,0.00068825,0.00068825
55,507.985,1.26869,0.63601,0.81247,0.90717,0.95575,0.97502,0.62929,1.26258,0.62608,0.81945,0.0006635,0.0006635,0.0006635
56,517.191,1.28631,0.62725,0.81614,0.94562,0.95575,0.98568,0.6429,1.24183,0.59406,0.81608,0.00063875,0.00063875,0.00063875
57,526.513,1.32521,0.63728,0.80042,0.94589,0.92823,0.97731,0.63787,1.27774,0.59636,0.82275,0.000614,0.000614,0.000614
58,535.851,1.26328,0.62422,0.81184,0.91025,0.97345,0.98331,0.64753,1.23214,0.59149,0.81123,0.00058925,0.00058925,0.00058925
59,545.243,1.28077,0.63568,0.79866,0.94088,0.9115,0.98084,0.65295,1.23697,0.60668,0.8175,0.0005645,0.0005645,0.0005645
60,554.559,1.20186,0.58977,0.80629,0.91078,0.97345,0.98668,0.65279,1.241,0.56318,0.81895,0.00053975,0.00053975,0.00053975
